数据状态,数据更新时间,品种代码,品种名称,交易所代码,交易所,主力合约,保证金比例,每手保证金_元,最新价,昨结算,持仓量,合约乘数,价格时间,保证金来源
fallback,2026-06-21T13:46:21+08:00,AU,沪金,SHFE,上期所,au2608,0.19,179166.2,942.98,942.98,167662,1000,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,AG,沪银,SHFE,上期所,ag2608,0.22,55324.5,16765.0,16765.0,245422,15,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,CU,沪铜,SHFE,上期所,cu2608,0.12,63036.0,105060.0,105060.0,146280,5,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,AL,沪铝,SHFE,上期所,al2608,0.12,14367.0,23945.0,23945.0,209011,5,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,ZN,沪锌,SHFE,上期所,zn2608,0.12,14910.0,24850.0,24850.0,90404,5,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,PB,沪铅,SHFE,上期所,pb2608,0.12,9876.0,16460.0,16460.0,67728,5,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,NI,沪镍,SHFE,上期所,ni2609,0.14,19201.0,137150.0,137150.0,120607,1,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,SN,沪锡,SHFE,上期所,sn2607,0.14,58783.2,419880.0,419880.0,27025,1,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,RB,螺纹钢,SHFE,上期所,rb2610,0.07,2193.8,3134.0,3134.0,1713730,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,HC,热卷,SHFE,上期所,hc2610,0.07,2345.7,3351.0,3351.0,1536993,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,RU,橡胶,SHFE,上期所,ru2609,0.11,19558.0,17780.0,17780.0,154652,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,BU,沥青,SHFE,上期所,bu2609,0.14,5548.2,3963.0,3963.0,285959,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,FU,燃料油,SHFE,上期所,fu2609,0.19,5865.3,3087.0,3179.0,274051,10,,exchange settlement @ 20260618
fallback,2026-06-21T13:46:21+08:00,SP,纸浆,SHFE,上期所,sp2609,0.09,4417.2,4908.0,4908.0,315835,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,SS,不锈钢,SHFE,上期所,ss2608,0.08,6028.0,15070.0,15070.0,115912,5,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,AO,氧化铝,SHFE,上期所,ao2609,0.12,6955.2,2898.0,2914.0,275843,20,,exchange settlement @ 20260618
fallback,2026-06-21T13:46:21+08:00,BR,合成橡胶,SHFE,上期所,br2609,0.14,9040.5,12915.0,12915.0,78013,5,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,M,豆粕,DCE,大商所,m2609,0.07,2059.4,2942.0,2946.0,2038966,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,Y,豆油,DCE,大商所,y2609,0.07,5847.1,8353.0,8369.0,587653,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,A,豆一,DCE,大商所,a2609,0.07,3293.5,4705.0,4688.0,240460,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,B,豆二,DCE,大商所,b2609,0.07,2562.0,3660.0,3668.0,101601,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,C,玉米,DCE,大商所,c2609,0.07,1630.3,2329.0,2322.0,855611,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,CS,淀粉,DCE,大商所,cs2609,0.06,1620.0,2700.0,2699.0,144579,10,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,JD,鸡蛋,DCE,大商所,jd2608,0.07,1579.9,4514.0,4568.0,362172,5,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,LH,生猪,DCE,大商所,lh2609,0.08,14912.0,11650.0,11690.0,214118,16,,akshare交易所实时保证金率
fallback,2026-06-21T13:46:21+08:00,P,棕榈油,DCE,大商所,p2609,0.08,7440.8,9301.0,9324.0,513210,10,,akshare交易所实时保证金率
